cislo,nazev,hlasy,procenta
1,Občanská demokratická strana,8816,"11,87"
2,Řád národa - Vlastenecká unie,111,"0,14"
3,CESTA ODPOVĚDNÉ SPOLEČNOSTI,40,"0,05"
4,Česká str.sociálně demokrat.,5080,"6,84"
6,Radostné Česko,93,"0,12"
7,STAROSTOVÉ A NEZÁVISLÍ,4164,"5,60"
8,Komunistická str.Čech a Moravy,6773,"9,12"
9,Strana zelených,1017,"1,36"
10,"ROZUMNÍ-stop migraci,diktát.EU",594,"0,79"
12,Strana svobodných občanů,1418,"1,90"
13,Blok proti islam.-Obran.domova,76,"0,10"
14,Občanská demokratická aliance,84,"0,11"
15,Česká pirátská strana,8700,"11,71"
17,Unie H.A.V.E.L.,35,"0,04"
19,Referendum o Evropské unii,66,"0,08"
20,TOP 09,3765,"5,07"
21,ANO 2011,22277,"29,99"
22,Dobrá volba 2016,52,"0,07"
23,SPR-Republ.str.Čsl. M.Sládka,178,"0,23"
24,Křesť.demokr.unie-Čs.str.lid.,1562,"2,10"
25,Česká strana národně sociální,27,"0,03"
26,REALISTÉ,508,"0,68"
27,SPORTOVCI,114,"0,15"
28,Dělnic.str.sociální spravedl.,172,"0,23"
29,Svob.a př.dem.-T.Okamura (SPD),8336,"11,22"
30,Strana Práv Občanů,199,"0,26"
