party_number,party_name,votes,percent
1,Občanská demokratická strana,3441,"9,34"
2,Řád národa - Vlastenecká unie,131,"0,35"
3,CESTA ODPOVĚDNÉ SPOLEČNOSTI,27,"0,07"
4,Česká str.sociálně demokrat.,3552,"9,64"
6,Radostné Česko,21,"0,05"
7,STAROSTOVÉ A NEZÁVISLÍ,3674,"9,97"
8,Komunistická str.Čech a Moravy,3240,"8,79"
9,Strana zelených,296,"0,80"
10,"ROZUMNÍ-stop migraci,diktát.EU",289,"0,78"
12,Strana svobodných občanů,380,"1,03"
13,Blok proti islam.-Obran.domova,46,"0,12"
14,Občanská demokratická aliance,38,"0,10"
15,Česká pirátská strana,3461,"9,39"
17,Unie H.A.V.E.L.,18,"0,04"
19,Referendum o Evropské unii,23,"0,06"
20,TOP 09,1302,"3,53"
21,ANO 2011,11689,"31,74"
22,Dobrá volba 2016,16,"0,04"
23,SPR-Republ.str.Čsl. M.Sládka,82,"0,22"
24,Křesť.demokr.unie-Čs.str.lid.,1263,"3,42"
25,Česká strana národně sociální,8,"0,02"
26,REALISTÉ,165,"0,44"
27,SPORTOVCI,69,"0,18"
28,Dělnic.str.sociální spravedl.,55,"0,14"
29,Svob.a př.dem.-T.Okamura (SPD),3448,"9,36"
30,Strana Práv Občanů,91,"0,24"
