party_number,party_name,votes,percent
1,Občanská demokratická strana,6338,"12,91"
2,Řád národa - Vlastenecká unie,115,"0,23"
3,CESTA ODPOVĚDNÉ SPOLEČNOSTI,28,"0,05"
4,Česká str.sociálně demokrat.,3107,"6,33"
6,Radostné Česko,24,"0,04"
7,STAROSTOVÉ A NEZÁVISLÍ,3349,"6,82"
8,Komunistická str.Čech a Moravy,3822,"7,79"
9,Strana zelených,672,"1,36"
10,"ROZUMNÍ-stop migraci,diktát.EU",439,"0,89"
12,Strana svobodných občanů,910,"1,85"
13,Blok proti islam.-Obran.domova,65,"0,13"
14,Občanská demokratická aliance,53,"0,10"
15,Česká pirátská strana,5718,"11,65"
17,Unie H.A.V.E.L.,24,"0,04"
19,Referendum o Evropské unii,69,"0,14"
20,TOP 09,2342,"4,77"
21,ANO 2011,14820,"30,20"
22,Dobrá volba 2016,31,"0,06"
23,SPR-Republ.str.Čsl. M.Sládka,105,"0,21"
24,Křesť.demokr.unie-Čs.str.lid.,1098,"2,23"
25,Česká strana národně sociální,14,"0,02"
26,REALISTÉ,303,"0,61"
27,SPORTOVCI,95,"0,19"
28,Dělnic.str.sociální spravedl.,120,"0,24"
29,Svob.a př.dem.-T.Okamura (SPD),5253,"10,70"
30,Strana Práv Občanů,144,"0,29"
